ID,NAME,longitude
2017,E 43 St & 2 Ave,-73.97121414
2021,W 45 St & 8 Ave,-73.98859651
2022,E 60 St & York Ave,-73.959223
3016,Kent Ave & N 7 St,-73.96165072917938
3041,Kingston Ave & Herkimer St,-73.94142771
3042,Fulton St & Utica Ave,-73.9298911
3043,Lewis Ave & Decatur St,-73.934903
3044,Albany Ave & Fulton St,-73.938475
3046,Marcus Garvey Blvd & Macon St,-73.938037
3047,Halsey St & Tompkins Ave,-73.944118
3048,Putnam Ave & Nostrand Ave,-73.94977
3049,Cambridge Pl & Gates Ave,-73.96304
3050,Putnam Ave & Throop Ave,-73.94111
3052,Lewis Ave & Madison St,-73.935775
3053,Marcy Ave & Lafayette Ave,-73.947915
3054,Greene Ave & Throop Ave,-73.942061
3055,Greene Ave & Nostrand Ave,-73.950916
3056,Kosciuszko St & Nostrand Ave,-73.95133465
3057,Kosciuszko St & Tompkins Ave,-73.9452416
3058,Lewis Ave & Kosciuszko St,-73.93705428
3059,Pulaski St & Marcus Garvey Blvd,-73.939877
3060,Willoughby Ave & Tompkins Ave,-73.94626915
3061,Throop Ave & Myrtle Ave,-73.94371094
3062,Myrtle Ave & Marcy Ave,-73.94954908
3063,Nostrand Ave & Myrtle Ave,-73.95238108
3064,Myrtle Ave & Lewis Ave,-73.93756926
3065,Union Ave & Wallabout St,-73.95032283
3066,Tompkins Ave & Hopkins St,-73.94708417
3067,Broadway & Whipple St,-73.9437303
3068,Humboldt St & Varet St,-73.940636
3069,Lorimer St & Broadway,-73.94818595
3070,McKibbin St & Manhattan Ave,-73.94407279
3071,Boerum St & Broadway,-73.94976519
3072,Leonard St & Boerum St,-73.94644578
3074,Montrose Ave & Bushwick Ave,-73.94016171
3075,Division Ave & Marcy Ave,-73.95796783
3076,Scholes St & Manhattan Ave,-73.9448625
3077,Stagg St & Union Ave,-73.95095259
3078,Broadway & Roebling St,-73.96063148975372
3080,S 4 St & Rodney St,-73.95608
3081,Graham Ave & Grand St,-73.944024
3082,Hope St & Union Ave,-73.95141312
3083,Bushwick Ave & Powers St,-73.94100005
3085,Roebling St & N 4 St,-73.95739
3086,Graham Ave & Conselyea St,-73.944507
3087,Metropolitan Ave & Meeker Ave,-73.95234386
3088,Union Ave & Jackson St,-73.952029
3092,Berry St & N 8 St,-73.95852515
3093,N 6 St & Bedford Ave,-73.95850939
